I,T,C,Q,PF,LF,ln_C,ln_Q,ln_PF,ln_LF
3,10,913883,0.539382,555267,0.631055,13.72545783,-0.617331239,13.22720436,-0.460362257
3,11,1041520,0.467967,850322,0.56924,13.85619174,-0.759357498,13.65337038,-0.563453141
3,12,1125800,0.450544,1015610,0.589682,13.93400445,-0.797299537,13.83099998,-0.52817187
3,13,1096070,0.468793,954508,0.587953,13.90724161,-0.757593973,13.7689513,-0.531108266
3,14,1198930,0.494397,886999,0.565388,13.99694005,-0.704416441,13.69559913,-0.570243058
3,15,1170470,0.493317,844079,0.577078,13.97291594,-0.70660331,13.64600137,-0.54977784
4,1,145167,0.086393,114987,0.432066,11.88564008,-2.448848625,11.65257436,-0.839176925
4,2,170192,0.09674,120501,0.439669,12.04468249,-2.335728312,11.69941333,-0.821733108
4,3,247506,0.1415,121908,0.488932,12.4191901,-1.955455562,11.71102194,-0.715531858
4,4,309391,0.169715,127220,0.484181,12.64236113,-1.773634719,11.75367315,-0.725296475
4,5,354338,0.173805,209405,0.529925,12.77800654,-1.749821298,12.25202545,-0.635019792
4,6,373941,0.164272,263148,0.532723,12.83185331,-1.806231688,12.48047189,-0.62975369
4,7,420915,0.170906,316724,0.549067,12.95018619,-1.766641581,12.66578601,-0.599534805
4,8,474017,0.17784,363598,0.55714,13.06899847,-1.726871009,12.80380414,-0.584938724
4,9,532590,0.192248,389436,0.611377,13.18550718,-1.648969074,12.87245482,-0.492041489
4,10,676771,0.242469,547376,0.645319,13.42508824,-1.416881412,13.21289123,-0.438010511
4,11,880438,0.256505,850418,0.611734,13.68817479,-1.360607121,13.65348327,-0.491457731
4,12,1052020,0.249657,1011170,0.580884,13.86622268,-1.387667303,13.82661863,-0.543204198
4,13,1193680,0.273923,951934,0.572047,13.99255153,-1.294908234,13.76625098,-0.558534123
4,14,1303390,0.371131,881323,0.59457,14.08047912,-0.991200179,13.68917947,-0.519916824
4,15,1436970,0.421411,831374,0.585525,14.17804729,-0.864146674,13.63083503,-0.535246398
5,1,91361,0.051028,118222,0.442875,11.42257397,-2.975380777,11.68031949,-0.814467716
5,2,95428,0.052646,116223,0.462473,11.46612732,-2.944165017,11.66326604,-0.771167102
5,3,98187,0.056348,115853,0.519118,11.4946291,-2.876208532,11.66007743,-0.655624061
5,4,115967,0.066953,129372,0.529331,11.66106095,-2.703764398,11.77044725,-0.636141334
5,5,138382,0.070308,243266,0.557797,11.83777326,-2.654869689,12.40191077,-0.583760182
5,6,156228,0.073961,277930,0.556181,11.95907176,-2.604217352,12.53512456,-0.586661498
5,7,183169,0.084946,317273,0.569327,12.1181645,-2.465739518,12.66751788,-0.563300317
5,8,210212,0.095474,358794,0.583465,12.25587182,-2.34890132,12.79050369,-0.538770812
5,9,274024,0.119814,397667,0.631818,12.52097097,-2.121814739,12.89337025,-0.459153901
5,10,356915,0.150046,566672,0.604723,12.78525294,-1.896813365,13.24753593,-0.502984777
5,11,432344,0.144014,848393,0.587921,12.97697685,-1.937844762,13.65109925,-0.531162694
5,12,524294,0.1693,1005740,0.616159,13.16980787,-1.77608299,13.82123415,-0.484250232
5,13,530924,0.172761,958231,0.605868,13.18237416,-1.755846143,13.77284416,-0.501093138
5,14,581447,0.18667,872924,0.594688,13.2732751,-1.678412927,13.67960377,-0.519718381
5,15,610257,0.213279,844622,0.635545,13.32163546,-1.545154111,13.64664447,-0.45327238
6,1,68978,0.037682,117112,0.448539,11.14154289,-3.278572752,11.67088602,-0.801759645
6,2,74904,0.039784,119420,0.475889,11.22396257,-3.224290458,11.69040197,-0.742570645
6,3,83829,0.044331,116087,0.500562,11.33653429,-3.116071072,11.66209519,-0.692023812
6,4,98148,0.050245,122997,0.500344,11.49423182,-2.990844239,11.71991524,-0.692459417
6,5,118449,0.055046,194309,0.528897,11.68223777,-2.89958608,12.17720495,-0.636961573
6,6,133161,0.052462,307923,0.495361,11.7993142,-2.947666181,12.63760503,-0.702468489
6,7,145062,0.056977,323595,0.510342,11.88491652,-2.865107601,12.68724801,-0.67267419
6,8,170711,0.06149,363081,0.518296,12.04772735,-2.788880719,12.80238123,-0.657208771
6,9,199775,0.069027,386422,0.546723,12.20494701,-2.673257547,12.86468532,-0.603813003
6,10,276797,0.092749,564867,0.554276,12.53103966,-2.377858359,13.24434558,-0.590092521
6,11,381478,0.11264,874818,0.517766,12.85180846,-2.183558387,13.68177114,-0.658231876
6,12,506969,0.154154,1013170,0.580049,13.13620514,-1.869803176,13.82859459,-0.544642696
6,13,633388,0.186461,930477,0.556024,13.35883847,-1.679533177,13.74345264,-0.58694382
6,14,804388,0.246847,851676,0.537791,13.59783702,-1.398986567,13.65496145,-0.62028527
6,15,1009500,0.304013,819476,0.525775,13.82496572,-1.190684815,13.61642039,-0.642881914
